Symbol,Week_1_2025-09-12,Week_2_2025-09-19,Week_3_2025-09-26,Week_4_2025-10-03,Week_5_2025-10-10,Week_6_2025-10-17,Week_7_2025-10-24,Week_8_2025-10-31,Week_9_2025-11-07,Week_10_2025-11-14,Week_11_2025-11-21,Week_12_2025-11-28,Week_13_2025-12-05
BLUEJET.NS,"Ticker
BLUEJET.NS    715.690918
Name: 2025-09-12, dtype: float64","Ticker
BLUEJET.NS    679.450012
Name: 2025-09-19, dtype: float64","Ticker
BLUEJET.NS    645.900024
Name: 2025-09-26, dtype: float64","Ticker
BLUEJET.NS    663.349976
Name: 2025-10-03, dtype: float64","Ticker
BLUEJET.NS    677.799988
Name: 2025-10-10, dtype: float64","Ticker
BLUEJET.NS    653.299988
Name: 2025-10-17, dtype: float64","Ticker
BLUEJET.NS    644.700012
Name: 2025-10-24, dtype: float64","Ticker
BLUEJET.NS    656.400024
Name: 2025-10-31, dtype: float64","Ticker
BLUEJET.NS    598.150024
Name: 2025-11-07, dtype: float64","Ticker
BLUEJET.NS    576.0
Name: 2025-11-14, dtype: float64","Ticker
BLUEJET.NS    555.25
Name: 2025-11-21, dtype: float64","Ticker
BLUEJET.NS    578.450012
Name: 2025-11-28, dtype: float64","Ticker
BLUEJET.NS    550.349976
Name: 2025-12-05, dtype: float64"
GMDCLTD.NS,"Ticker
GMDCLTD.NS    559.341553
Name: 2025-09-12, dtype: float64","Ticker
GMDCLTD.NS    572.049988
Name: 2025-09-19, dtype: float64","Ticker
GMDCLTD.NS    589.0
Name: 2025-09-26, dtype: float64","Ticker
GMDCLTD.NS    613.099976
Name: 2025-10-03, dtype: float64","Ticker
GMDCLTD.NS    606.549988
Name: 2025-10-10, dtype: float64","Ticker
GMDCLTD.NS    567.099976
Name: 2025-10-17, dtype: float64","Ticker
GMDCLTD.NS    585.299988
Name: 2025-10-24, dtype: float64","Ticker
GMDCLTD.NS    594.299988
Name: 2025-10-31, dtype: float64","Ticker
GMDCLTD.NS    600.299988
Name: 2025-11-07, dtype: float64","Ticker
GMDCLTD.NS    567.599976
Name: 2025-11-14, dtype: float64","Ticker
GMDCLTD.NS    488.899994
Name: 2025-11-21, dtype: float64","Ticker
GMDCLTD.NS    539.299988
Name: 2025-11-28, dtype: float64","Ticker
GMDCLTD.NS    522.0
Name: 2025-12-05, dtype: float64"
VENTIVE.NS,"Ticker
VENTIVE.NS    745.049988
Name: 2025-09-12, dtype: float64","Ticker
VENTIVE.NS    769.25
Name: 2025-09-19, dtype: float64","Ticker
VENTIVE.NS    736.599976
Name: 2025-09-26, dtype: float64","Ticker
VENTIVE.NS    723.599976
Name: 2025-10-03, dtype: float64","Ticker
VENTIVE.NS    710.75
Name: 2025-10-10, dtype: float64","Ticker
VENTIVE.NS    730.099976
Name: 2025-10-17, dtype: float64","Ticker
VENTIVE.NS    748.599976
Name: 2025-10-24, dtype: float64","Ticker
VENTIVE.NS    738.900024
Name: 2025-10-31, dtype: float64","Ticker
VENTIVE.NS    720.700012
Name: 2025-11-07, dtype: float64","Ticker
VENTIVE.NS    748.25
Name: 2025-11-14, dtype: float64","Ticker
VENTIVE.NS    719.650024
Name: 2025-11-21, dtype: float64","Ticker
VENTIVE.NS    728.150024
Name: 2025-11-28, dtype: float64","Ticker
VENTIVE.NS    717.900024
Name: 2025-12-05, dtype: float64"
PHOENIXLTD.NS,"Ticker
PHOENIXLTD.NS    1557.599976
Name: 2025-09-12, dtype: float64","Ticker
PHOENIXLTD.NS    1629.800049
Name: 2025-09-19, dtype: float64","Ticker
PHOENIXLTD.NS    1540.400024
Name: 2025-09-26, dtype: float64","Ticker
PHOENIXLTD.NS    1562.5
Name: 2025-10-03, dtype: float64","Ticker
PHOENIXLTD.NS    1597.800049
Name: 2025-10-10, dtype: float64","Ticker
PHOENIXLTD.NS    1687.800049
Name: 2025-10-17, dtype: float64","Ticker
PHOENIXLTD.NS    1680.699951
Name: 2025-10-24, dtype: float64","Ticker
PHOENIXLTD.NS    1682.599976
Name: 2025-10-31, dtype: float64","Ticker
PHOENIXLTD.NS    1773.300049
Name: 2025-11-07, dtype: float64","Ticker
PHOENIXLTD.NS    1736.400024
Name: 2025-11-14, dtype: float64","Ticker
PHOENIXLTD.NS    1698.0
Name: 2025-11-21, dtype: float64","Ticker
PHOENIXLTD.NS    1736.800049
Name: 2025-11-28, dtype: float64","Ticker
PHOENIXLTD.NS    1736.900024
Name: 2025-12-05, dtype: float64"
FEDERALBNK.NS,"Ticker
FEDERALBNK.NS    194.360001
Name: 2025-09-12, dtype: float64","Ticker
FEDERALBNK.NS    197.919998
Name: 2025-09-19, dtype: float64","Ticker
FEDERALBNK.NS    191.820007
Name: 2025-09-26, dtype: float64","Ticker
FEDERALBNK.NS    192.369995
Name: 2025-10-03, dtype: float64","Ticker
FEDERALBNK.NS    208.300003
Name: 2025-10-10, dtype: float64","Ticker
FEDERALBNK.NS    212.380005
Name: 2025-10-17, dtype: float64","Ticker
FEDERALBNK.NS    227.399994
Name: 2025-10-24, dtype: float64","Ticker
FEDERALBNK.NS    236.610001
Name: 2025-10-31, dtype: float64","Ticker
FEDERALBNK.NS    237.259995
Name: 2025-11-07, dtype: float64","Ticker
FEDERALBNK.NS    236.259995
Name: 2025-11-14, dtype: float64","Ticker
FEDERALBNK.NS    245.059998
Name: 2025-11-21, dtype: float64","Ticker
FEDERALBNK.NS    257.920013
Name: 2025-11-28, dtype: float64","Ticker
FEDERALBNK.NS    258.149994
Name: 2025-12-05, dtype: float64"
ADVENTHTL.NS,,,,,,,,,,"Ticker
ADVENTHTL.NS    312.25
Name: 2025-11-14, dtype: float64","Ticker
ADVENTHTL.NS    245.899994
Name: 2025-11-21, dtype: float64","Ticker
ADVENTHTL.NS    235.449997
Name: 2025-11-28, dtype: float64","Ticker
ADVENTHTL.NS    200.0
Name: 2025-12-05, dtype: float64"
LATENTVIEW.NS,"Ticker
LATENTVIEW.NS    417.100006
Name: 2025-09-12, dtype: float64","Ticker
LATENTVIEW.NS    424.600006
Name: 2025-09-19, dtype: float64","Ticker
LATENTVIEW.NS    405.850006
Name: 2025-09-26, dtype: float64","Ticker
LATENTVIEW.NS    415.700012
Name: 2025-10-03, dtype: float64","Ticker
LATENTVIEW.NS    439.75
Name: 2025-10-10, dtype: float64","Ticker
LATENTVIEW.NS    427.950012
Name: 2025-10-17, dtype: float64","Ticker
LATENTVIEW.NS    428.600006
Name: 2025-10-24, dtype: float64","Ticker
LATENTVIEW.NS    448.350006
Name: 2025-10-31, dtype: float64","Ticker
LATENTVIEW.NS    436.549988
Name: 2025-11-07, dtype: float64","Ticker
LATENTVIEW.NS    488.799988
Name: 2025-11-14, dtype: float64","Ticker
LATENTVIEW.NS    482.950012
Name: 2025-11-21, dtype: float64","Ticker
LATENTVIEW.NS    498.350006
Name: 2025-11-28, dtype: float64","Ticker
LATENTVIEW.NS    457.649994
Name: 2025-12-05, dtype: float64"
MANYAVAR.NS,"Ticker
MANYAVAR.NS    723.049988
Name: 2025-09-12, dtype: float64","Ticker
MANYAVAR.NS    717.549988
Name: 2025-09-19, dtype: float64","Ticker
MANYAVAR.NS    704.0
Name: 2025-09-26, dtype: float64","Ticker
MANYAVAR.NS    694.900024
Name: 2025-10-03, dtype: float64","Ticker
MANYAVAR.NS    697.200012
Name: 2025-10-10, dtype: float64","Ticker
MANYAVAR.NS    691.349976
Name: 2025-10-17, dtype: float64","Ticker
MANYAVAR.NS    688.200012
Name: 2025-10-24, dtype: float64","Ticker
MANYAVAR.NS    645.75
Name: 2025-10-31, dtype: float64","Ticker
MANYAVAR.NS    639.5
Name: 2025-11-07, dtype: float64","Ticker
MANYAVAR.NS    626.5
Name: 2025-11-14, dtype: float64","Ticker
MANYAVAR.NS    608.150024
Name: 2025-11-21, dtype: float64","Ticker
MANYAVAR.NS    608.150024
Name: 2025-11-28, dtype: float64","Ticker
MANYAVAR.NS    600.450012
Name: 2025-12-05, dtype: float64"
SARDAEN.NS,"Ticker
SARDAEN.NS    589.900024
Name: 2025-09-12, dtype: float64","Ticker
SARDAEN.NS    573.650024
Name: 2025-09-19, dtype: float64","Ticker
SARDAEN.NS    566.400024
Name: 2025-09-26, dtype: float64","Ticker
SARDAEN.NS    577.5
Name: 2025-10-03, dtype: float64","Ticker
SARDAEN.NS    567.650024
Name: 2025-10-10, dtype: float64","Ticker
SARDAEN.NS    528.049988
Name: 2025-10-17, dtype: float64","Ticker
SARDAEN.NS    539.200012
Name: 2025-10-24, dtype: float64","Ticker
SARDAEN.NS    529.5
Name: 2025-10-31, dtype: float64","Ticker
SARDAEN.NS    534.849976
Name: 2025-11-07, dtype: float64","Ticker
SARDAEN.NS    518.049988
Name: 2025-11-14, dtype: float64","Ticker
SARDAEN.NS    490.049988
Name: 2025-11-21, dtype: float64","Ticker
SARDAEN.NS    489.5
Name: 2025-11-28, dtype: float64","Ticker
SARDAEN.NS    476.700012
Name: 2025-12-05, dtype: float64"
FSL.NS,"Ticker
FSL.NS    368.25
Name: 2025-09-12, dtype: float64","Ticker
FSL.NS    375.799988
Name: 2025-09-19, dtype: float64","Ticker
FSL.NS    351.600006
Name: 2025-09-26, dtype: float64","Ticker
FSL.NS    321.450012
Name: 2025-10-03, dtype: float64","Ticker
FSL.NS    334.200012
Name: 2025-10-10, dtype: float64","Ticker
FSL.NS    326.850006
Name: 2025-10-17, dtype: float64","Ticker
FSL.NS    326.350006
Name: 2025-10-24, dtype: float64","Ticker
FSL.NS    353.899994
Name: 2025-10-31, dtype: float64","Ticker
FSL.NS    340.450012
Name: 2025-11-07, dtype: float64","Ticker
FSL.NS    362.700012
Name: 2025-11-14, dtype: float64","Ticker
FSL.NS    359.649994
Name: 2025-11-21, dtype: float64","Ticker
FSL.NS    345.799988
Name: 2025-11-28, dtype: float64","Ticker
FSL.NS    349.600006
Name: 2025-12-05, dtype: float64"
JUBLINGREA.NS,"Ticker
JUBLINGREA.NS    708.349976
Name: 2025-09-12, dtype: float64","Ticker
JUBLINGREA.NS    673.849976
Name: 2025-09-19, dtype: float64","Ticker
JUBLINGREA.NS    650.0
Name: 2025-09-26, dtype: float64","Ticker
JUBLINGREA.NS    667.400024
Name: 2025-10-03, dtype: float64","Ticker
JUBLINGREA.NS    651.200012
Name: 2025-10-10, dtype: float64","Ticker
JUBLINGREA.NS    699.349976
Name: 2025-10-17, dtype: float64","Ticker
JUBLINGREA.NS    677.700012
Name: 2025-10-24, dtype: float64","Ticker
JUBLINGREA.NS    689.950012
Name: 2025-10-31, dtype: float64","Ticker
JUBLINGREA.NS    654.799988
Name: 2025-11-07, dtype: float64","Ticker
JUBLINGREA.NS    683.0
Name: 2025-11-14, dtype: float64","Ticker
JUBLINGREA.NS    719.75
Name: 2025-11-21, dtype: float64","Ticker
JUBLINGREA.NS    708.049988
Name: 2025-11-28, dtype: float64","Ticker
JUBLINGREA.NS    686.099976
Name: 2025-12-05, dtype: float64"
NEULANDLAB.NS,"Ticker
NEULANDLAB.NS    16049.0
Name: 2025-09-12, dtype: float64","Ticker
NEULANDLAB.NS    15467.0
Name: 2025-09-19, dtype: float64","Ticker
NEULANDLAB.NS    13966.0
Name: 2025-09-26, dtype: float64","Ticker
NEULANDLAB.NS    15210.0
Name: 2025-10-03, dtype: float64","Ticker
NEULANDLAB.NS    16316.0
Name: 2025-10-10, dtype: float64","Ticker
NEULANDLAB.NS    16281.0
Name: 2025-10-17, dtype: float64","Ticker
NEULANDLAB.NS    16088.0
Name: 2025-10-24, dtype: float64","Ticker
NEULANDLAB.NS    16473.0
Name: 2025-10-31, dtype: float64","Ticker
NEULANDLAB.NS    17837.0
Name: 2025-11-07, dtype: float64","Ticker
NEULANDLAB.NS    17461.0
Name: 2025-11-14, dtype: float64","Ticker
NEULANDLAB.NS    16598.0
Name: 2025-11-21, dtype: float64","Ticker
NEULANDLAB.NS    17288.0
Name: 2025-11-28, dtype: float64","Ticker
NEULANDLAB.NS    16772.0
Name: 2025-12-05, dtype: float64"
AIAENG.NS,"Ticker
AIAENG.NS    3087.899902
Name: 2025-09-12, dtype: float64","Ticker
AIAENG.NS    3074.899902
Name: 2025-09-19, dtype: float64","Ticker
AIAENG.NS    3069.899902
Name: 2025-09-26, dtype: float64","Ticker
AIAENG.NS    3224.300049
Name: 2025-10-03, dtype: float64","Ticker
AIAENG.NS    3271.899902
Name: 2025-10-10, dtype: float64","Ticker
AIAENG.NS    3302.800049
Name: 2025-10-17, dtype: float64","Ticker
AIAENG.NS    3360.199951
Name: 2025-10-24, dtype: float64","Ticker
AIAENG.NS    3249.899902
Name: 2025-10-31, dtype: float64","Ticker
AIAENG.NS    3256.199951
Name: 2025-11-07, dtype: float64","Ticker
AIAENG.NS    3693.0
Name: 2025-11-14, dtype: float64","Ticker
AIAENG.NS    3698.699951
Name: 2025-11-21, dtype: float64","Ticker
AIAENG.NS    3862.600098
Name: 2025-11-28, dtype: float64","Ticker
AIAENG.NS    3801.399902
Name: 2025-12-05, dtype: float64"
GODREJCP.NS,"Ticker
GODREJCP.NS    1244.247559
Name: 2025-09-12, dtype: float64","Ticker
GODREJCP.NS    1233.494751
Name: 2025-09-19, dtype: float64","Ticker
GODREJCP.NS    1158.821899
Name: 2025-09-26, dtype: float64","Ticker
GODREJCP.NS    1143.986938
Name: 2025-10-03, dtype: float64","Ticker
GODREJCP.NS    1124.870728
Name: 2025-10-10, dtype: float64","Ticker
GODREJCP.NS    1127.260132
Name: 2025-10-17, dtype: float64","Ticker
GODREJCP.NS    1125.46814
Name: 2025-10-24, dtype: float64","Ticker
GODREJCP.NS    1113.719482
Name: 2025-10-31, dtype: float64","Ticker
GODREJCP.NS    1121.800049
Name: 2025-11-07, dtype: float64","Ticker
GODREJCP.NS    1146.5
Name: 2025-11-14, dtype: float64","Ticker
GODREJCP.NS    1125.199951
Name: 2025-11-21, dtype: float64","Ticker
GODREJCP.NS    1145.599976
Name: 2025-11-28, dtype: float64","Ticker
GODREJCP.NS    1126.5
Name: 2025-12-05, dtype: float64"
IDBI.NS,"Ticker
IDBI.NS    93.010002
Name: 2025-09-12, dtype: float64","Ticker
IDBI.NS    93.760002
Name: 2025-09-19, dtype: float64","Ticker
IDBI.NS    89.57
Name: 2025-09-26, dtype: float64","Ticker
IDBI.NS    92.599998
Name: 2025-10-03, dtype: float64","Ticker
IDBI.NS    93.459999
Name: 2025-10-10, dtype: float64","Ticker
IDBI.NS    91.720001
Name: 2025-10-17, dtype: float64","Ticker
IDBI.NS    93.93
Name: 2025-10-24, dtype: float64","Ticker
IDBI.NS    103.800003
Name: 2025-10-31, dtype: float64","Ticker
IDBI.NS    100.419998
Name: 2025-11-07, dtype: float64","Ticker
IDBI.NS    101.040001
Name: 2025-11-14, dtype: float64","Ticker
IDBI.NS    100.239998
Name: 2025-11-21, dtype: float64","Ticker
IDBI.NS    100.379997
Name: 2025-11-28, dtype: float64","Ticker
IDBI.NS    97.389999
Name: 2025-12-05, dtype: float64"
INDIAMART.NS,"Ticker
INDIAMART.NS    2600.699951
Name: 2025-09-12, dtype: float64","Ticker
INDIAMART.NS    2469.600098
Name: 2025-09-19, dtype: float64","Ticker
INDIAMART.NS    2366.800049
Name: 2025-09-26, dtype: float64","Ticker
INDIAMART.NS    2371.399902
Name: 2025-10-03, dtype: float64","Ticker
INDIAMART.NS    2391.399902
Name: 2025-10-10, dtype: float64","Ticker
INDIAMART.NS    2344.100098
Name: 2025-10-17, dtype: float64","Ticker
INDIAMART.NS    2370.800049
Name: 2025-10-24, dtype: float64","Ticker
INDIAMART.NS    2457.899902
Name: 2025-10-31, dtype: float64","Ticker
INDIAMART.NS    2447.5
Name: 2025-11-07, dtype: float64","Ticker
INDIAMART.NS    2451.399902
Name: 2025-11-14, dtype: float64","Ticker
INDIAMART.NS    2341.800049
Name: 2025-11-21, dtype: float64","Ticker
INDIAMART.NS    2310.0
Name: 2025-11-28, dtype: float64","Ticker
INDIAMART.NS    2296.899902
Name: 2025-12-05, dtype: float64"
MAHSEAMLES.NS,"Ticker
MAHSEAMLES.NS    626.849976
Name: 2025-09-12, dtype: float64","Ticker
MAHSEAMLES.NS    630.900024
Name: 2025-09-19, dtype: float64","Ticker
MAHSEAMLES.NS    596.799988
Name: 2025-09-26, dtype: float64","Ticker
MAHSEAMLES.NS    601.549988
Name: 2025-10-03, dtype: float64","Ticker
MAHSEAMLES.NS    584.099976
Name: 2025-10-10, dtype: float64","Ticker
MAHSEAMLES.NS    568.200012
Name: 2025-10-17, dtype: float64","Ticker
MAHSEAMLES.NS    570.700012
Name: 2025-10-24, dtype: float64","Ticker
MAHSEAMLES.NS    568.0
Name: 2025-10-31, dtype: float64","Ticker
MAHSEAMLES.NS    548.549988
Name: 2025-11-07, dtype: float64","Ticker
MAHSEAMLES.NS    562.950012
Name: 2025-11-14, dtype: float64","Ticker
MAHSEAMLES.NS    572.049988
Name: 2025-11-21, dtype: float64","Ticker
MAHSEAMLES.NS    589.099976
Name: 2025-11-28, dtype: float64","Ticker
MAHSEAMLES.NS    577.0
Name: 2025-12-05, dtype: float64"
